gcal_scale,apd_mean_v,apd_std_v,apd_mean_ca,apd_std_ca
1.0,240.05055938112017,2.3301240877391045,220.27107669054047,10.012303376519423
0.5,182.70769159573962,0.8042340352259811,161.3903244967231,0.5301365894128183
0.6,200.34230337934054,0.9766098664248772,176.83184799144018,0.626008926178872
0.7,214.18450721625803,1.1374262714235517,190.05290920192576,0.6999172773081921
0.8,224.9562694254782,1.3407111318572738,201.94120304142177,3.1721326129370584
0.9,233.37805189483876,1.6765828729462238,211.99637443001302,6.462012637586802
1.1,245.269729628909,5.294059937601222,227.01010358341244,13.972470953207708
1.2,244.60155673038304,26.51837466847015,232.36923444944364,18.13992343905812
1.3,238.93651946779613,67.28998006906355,236.52742893337532,22.2927863589702
1.5,230.27338658841433,103.7794063148219,242.13892110803593,29.805473452716587
