u,ca_mean,ca_std,ca_min,ca_max,ca_std_altbeat
2.0,1.9883516575104747,0.01826292753944895,1.9250233554433114,2.0382475196097225,0.018270660127711162
2.25,1.9977596307533243,0.01730949564505376,1.937705273852557,2.048312629249927,0.017314262554967857
2.5,2.006855913862263,0.01688255951361282,1.9486920668179817,2.058133883825363,0.016885730059416248
2.75,2.015835201747381,0.01674199616785614,1.9586908286050493,2.067910867169969,0.016744313229099205
3.0,2.024086324342816,0.016771488745340707,1.9673419169573199,2.077063855230719,0.016773284181335817
3.25,2.0311601994976756,0.016877097159516102,1.9746187938900797,2.0850004058838674,0.016878436429573845
3.5,2.037338233993127,0.01704217717110799,1.9808654041479523,2.092011649859592,0.017042996006152673
3.75,2.042724383503846,0.017255049985785982,1.9862559130334188,2.098194588711744,0.017255183385858776
4.0,2.0474003233750833,0.017511376356102486,1.9909267127690193,2.1036271665219672,0.01751056987665798
4.25,2.0514602188187565,0.017816885429114915,1.9949982580321397,2.108415764394861,0.017814806484789975
4.5,2.0550169145904285,0.0181765355813715,1.9986002977211894,2.11266716574284,0.018172756299862897
4.75,2.058162889870009,0.01859410795278123,2.001848716861452,2.1164620126157625,0.018588094146783075
5.0,2.060968379938853,0.01907578167062815,2.0048371076540943,2.121705875193409,0.019066868553789106
5.25,2.063487584979386,0.01963066446127954,2.007641448683463,2.1272199960487583,0.01961800459585821
5.5,2.065763208350825,0.020271418053812378,2.0078717300346107,2.1327584210770705,0.020253906499666907
5.75,2.06782957381571,0.021015486700136754,2.005688764948016,2.1384028264055144,0.020991656151316207
6.0,2.0697147869827934,0.02188673339746564,2.002755133161278,2.1442533215263877,0.02185461960208577
6.25,2.0714421958814855,0.022918147450594385,1.9990338148239275,2.150439421876728,0.022875053462351257
6.5,2.0730315025361903,0.024156134533506995,1.9944716639106936,2.157141192167486,0.024098245213581226
6.75,2.0744995809479003,0.02566828288839744,1.988999530658766,2.164622739450887,0.025589968107292804
7.0,2.0758612539036068,0.027556501488551512,1.9825356050144818,2.1732875961605074,0.027448970280933814
7.25,2.0771300666411685,0.02998210165855668,1.9750050056696848,2.1837702541426,0.02983068887802951
7.5,2.0783194284095843,0.033218228304763606,1.9663825172877136,2.1970984159815488,0.03299616180998531
7.75,2.0794449399396497,0.03776901140002407,1.956793956215043,2.2149760054006484,0.03742024081389099
8.0,2.080531037686943,0.044675928863548764,1.9466556123880023,2.2401159546321288,0.04405224280782732
8.25,2.081634923179427,0.05651522178792195,1.9214481737521163,2.275237350356117,0.05500377516032762
8.5,2.0830904217054433,0.07716683274693946,1.8742210193821622,2.3246583653447703,0.06368040566723963
8.75,2.1506286700307204,0.7252519557688462,1.3116135901230308,3.135645972322459,0.111753206247999
9.0,2.1834343563002987,0.9218643010200172,1.2408416379310028,3.216683190240403,0.02909571744740142
9.25,2.1911983728286435,0.9542790941116067,1.2226552633808525,3.262878278957131,0.023961624129681697
9.5,2.1950592668745315,0.9663047852071853,1.2167028822492345,3.277693735237391,0.024286726532969274
9.75,2.198346358990887,0.9756307722946572,1.2109057925270572,3.291500575778161,0.024648484961880816
10.0,2.2014962529622384,0.9844935349115936,1.2054067232722747,3.304874009821215,0.024888368661110678
10.25,2.204531164548789,0.9929992070411289,1.2001398829743055,3.317750680527044,0.025126205810361596
10.5,2.207457404200213,1.0011695998485646,1.1950904333754389,3.330159397601752,0.025362168741767638
10.75,2.210280889990801,1.0090248038785288,1.1902449840452567,3.342130057658984,0.025596370460254807
11.0,2.213007096775371,1.0165833248767593,1.1855911304986135,3.3536869516165733,0.025828881958815567
