u,apd_mean,apd_std,apd_min,apd_max,apd_std_altbeat,ca_mean,ca_std,ca_min,ca_max
2.0,219.04235443268394,0.7250923640722955,216.8533201111568,221.132792248216,0.7250844717214608,1.995970765672412,0.01923327265855221,1.9266670232166998,2.0512216301418214
2.25,219.01869075183725,0.7238714854832589,216.82824262308714,221.1065695150246,0.7238495907603099,2.0051583053581483,0.01849226955144014,1.9390659565788662,2.0612377447179444
2.5,218.99351616018342,0.7225356483213515,216.80291472379758,221.07820751098188,0.7224997063610028,2.014028053842501,0.018270519082437084,1.949831232927673,2.0709653388322087
2.75,218.96725096329945,0.7210985071895119,216.7774811770505,221.04836150146002,0.7210479630038136,2.0227747524629316,0.018333275561002744,1.9596544311931048,2.0806096813659134
3.0,218.93954327473324,0.7212780353304978,216.74611824050953,221.02226821943623,0.7212087336238096,2.0308389940471216,0.018586969863333958,1.968217920281371,2.089660150045385
3.25,218.910710697365,0.7214169015951689,216.714402957703,220.99344317729265,0.7213263189862722,2.0376714223301993,0.018926177271329166,1.9753984458306237,2.097407991154879
3.5,218.88171614132432,0.7217236122906999,216.68276014547155,220.9638524083639,0.7216086249422415,2.043584441692388,0.019339219226884075,1.9815677800386884,2.1041761166559025
3.75,218.8530399939221,0.722268050198364,216.65162266131665,220.93419103191263,0.7221244159697375,2.048692437879373,0.0198189223516844,1.9869047658921917,2.110320019083482
4.0,218.82499704515743,0.723083247157833,216.62144008297764,220.90480041438423,0.7229056409135397,2.0530831328801966,0.020365123172771848,1.9915497454941318,2.1175307768616847
4.25,218.79779935101558,0.7242028932619201,216.59260431063012,220.87579188746167,0.7239851636502062,2.056853386266286,0.020988837287578683,1.9956243817300707,2.1243620834444132
4.5,218.7715744234442,0.7256757934222329,216.5655180827598,220.85333046496817,0.7254105639988297,2.0601199553520724,0.02170205414862507,1.9957084753616552,2.130958569075845
4.75,218.74638193752648,0.7275628311429558,216.540598810112,220.8509780212189,0.7272410018673503,2.062979330832787,0.022516514811385172,1.994635086460554,2.137446597114095
5.0,218.7222356498876,0.729948263661353,216.51831607437634,220.85198978060362,0.7295583272024407,2.065504555502951,0.023448666559978227,1.9926318328150128,2.1439479252613705
5.25,218.69912368241103,0.7329475239621597,216.49924435403955,220.85639293662098,0.7324742377758854,2.067751695804086,0.024521421901923583,1.9897160045165152,2.1505899577362833
5.5,218.67701920456142,0.7367218971916059,216.48407750748447,220.86410506173706,0.7361442929552628,2.069764820663665,0.02576633133071188,1.98587764877736,2.1575136210513954
5.75,218.65588974560094,0.7415029599006756,216.47362624089874,220.87482264471328,0.7407913144721252,2.071579399631856,0.027227508176239968,1.9810829194522994,2.164897461811539
6.0,218.63570291752143,0.7476274746191732,216.46875170746353,220.88773528774618,0.7467385689547301,2.073224716466579,0.028967487530209335,1.9752776612696201,2.1729903769718084
6.25,218.61643100095154,0.7556004496745015,216.47017359024903,220.90117813931283,0.7544687403610991,2.074725610459951,0.031077198469310712,1.9683866178918932,2.182151439580286
6.5,218.59805653532095,0.76621663545111,216.47806443090667,220.91212216722488,0.7647375694327463,2.0761040119853016,0.03369429673899383,1.9603205051858656,2.1929218475005094
6.75,218.58058174995392,0.7808093530773123,216.41996551809308,220.9155416210342,0.7788040359724012,2.0773806507166994,0.03703907253550387,1.9509914078208097,2.2061460957548578
7.0,218.56404776041336,0.8017852547505041,216.27716126831365,220.90412943468982,0.7989153810357925,2.078577552674001,0.04148935423274325,1.9403538265325833,2.2231838677859024
7.25,218.54858471392558,0.8339076669569753,216.03965104807867,220.94922701363976,0.8294278795581129,2.0797235191032915,0.047754664220730984,1.9284879885752069,2.246259552737279
7.5,218.5345710676822,0.8878649279277442,215.7147734018654,221.21296688937582,0.8796397832725692,2.080869910834062,0.05734252723175196,1.9155774679197166,2.278726051721679
7.75,218.52337302988366,0.9940594176589463,215.27791931506363,221.57989545387682,0.9719980741021854,2.0821615399525624,0.07425066733553559,1.8801056474180158,2.323071468003153
8.0,218.52660661151634,1.3552097738050057,214.4993160765589,222.33021967062086,1.1503952943386393,2.0847671326629706,0.12222793821459611,1.8076742048348666,2.4098984784358546
8.25,219.24887890022165,6.37536900791877,208.9017466922378,231.63942342888913,3.767594844846533,2.1636463045500824,0.6570597825508752,1.262643691996562,3.398416941356065
8.5,220.176914325772,9.636901539287367,208.18125304728164,231.6802236664953,0.8512241413928682,2.25888091186572,1.0067996654548912,1.2348986328069516,3.4042777602038843
8.75,220.24300569109985,9.913651611657643,207.9474248674378,231.9713765520819,0.8159178511893446,2.2697246201433097,1.0368627661217646,1.2196441949599799,3.436050658086594
9.0,220.27107669054047,10.012303376519423,207.88725712173618,232.1236092702302,0.8175695308293104,2.2754579045583623,1.0502599520792228,1.2131187527272664,3.4536086894563276
9.25,220.2956141080755,10.093466699230309,207.82230210753914,232.23502380702485,0.8199121002869463,2.2806201233302366,1.0619599384875276,1.2068924540894217,3.4719963152668463
9.5,220.31924871199953,10.17005420650631,207.761060155608,232.34098149934653,0.8222732970500979,2.285580789092464,1.0731462479490037,1.2009562972189054,3.489658127289763
9.75,220.34205784637004,10.242546469411543,207.70328933894052,232.4419029042392,0.8246096150346054,2.2903554713747734,1.083865842632479,1.1952864668191707,3.506634993740933
10.0,220.36408264675492,10.311236905142705,207.64871570799733,232.5381355462423,0.8269221501653559,2.2949544129415513,1.0941479876378435,1.1898649910002657,3.5229685375834503
10.25,220.38536198442264,10.37639346053091,207.59709023883624,232.63001361602437,0.8292124531340709,2.299387181117743,1.1040195985211159,1.1846754285188918,3.538699324631507
10.5,220.40593222447006,10.438260468625726,207.5482002167555,232.71783484355183,0.8314810470654773,2.30366271504167,1.113505451831532,1.179702764317565,3.553861861368659
10.75,220.42582796123506,10.497061333856301,207.50186459218094,232.8018667364886,0.8337291113909586,2.3077893229717734,1.1226283645644208,1.1749332120043563,3.5684857320054033
11.0,220.44508175514582,10.553000550976112,207.4579144691379,232.88233184149612,0.8359583289144007,2.311774765175696,1.1314094016421972,1.1703541920112177,3.5825994379583057
