gna_scale,apd_mean_v,apd_std_v,apd_mean_ca,apd_std_ca
1.0,240.05055938112017,2.3301240877391045,220.27107669054047,10.012303376519423
0.5,241.42558278381847,3.142752682769608,221.97263018320646,10.635952383919717
0.75,240.78321846366717,2.3161443768861134,221.17694199957995,10.157415330783401
1.25,239.6355715526163,2.3405824902194223,219.7306166032709,9.86864868397052
1.5,239.29792662317266,2.4565764621644877,219.3229087515589,9.901174461162297
2.0,239.03034932724336,2.5758607416624213,218.9694934128293,9.868439298518766
3.0,238.8496467660827,2.9165181286265396,218.7677428530681,10.000346062603443
