tauf,time,v,ci,cs,d,f,q
25,0.0,-95.75209877474292,0.48928384377524975,0.5050209092904268,1.513845172350383e-6,0.9929510625975682,0.6015270776168807
25,0.1,-90.77917857377047,0.4891036677942918,0.5048359881341983,8.158336653856274e-7,0.9929751934024422,0.6017914892256082
25,0.2,-85.9010775958606,0.4889236202270201,0.5046552190496392,1.3284608021242495e-6,0.9930143861792198,0.6015366997361753
25,0.30000000000000004,-81.09217721210432,0.48874370409803675,0.5044785093278731,1.510044389601049e-6,0.9930111024217857,0.6015295735436881
25,0.4,-76.3284602794112,0.48856392234845336,0.504305748086457,2.2506842037540998e-6,0.9930208449213088,0.6019030180049828
25,0.5,-71.58879405506428,0.4883842778262387,0.5041368301267019,3.8655261058075974e-6,0.9930834872876225,0.6020903004024164
25,0.6000000000000001,-66.85530439473263,0.48820477328991024,0.5039716398240265,0.0,0.9929778388048067,0.6019258282112413
25,0.7000000000000001,-62.10942167217864,0.48802541138855726,0.5038100491496325,1.1075159264010684e-6,0.992890597323652,0.6021923889676201
25,0.8,-57.30084489663918,0.4878461946815123,0.5036519720866812,1.5362626821995325e-6,0.9925976580537592,0.6027925074723602
25,0.9,-52.15400749574259,0.4876671256506131,0.503497329819384,0.0,0.992420743082846,0.6029488233497702
25,1.0,-44.91964492319476,0.48748820674234516,0.5033463861336358,0.0,0.9919388960806164,0.6030956635063469
25,1.1,-26.49146273224367,0.48730944083255134,0.5032007976954472,0.0,0.9906862552417539,0.6029586511389002
25,1.2000000000000002,40.948157918408874,0.48713083309330657,0.5030741355656696,0.007664967291785123,0.9872248334323943,0.6028989923821739
25,1.3,54.48095818767175,0.48695240255251193,0.5029745914802017,0.027046814739639005,0.9834538560821584,0.6029269954033156
25,1.4000000000000001,57.401436863978404,0.4867741650150523,0.5028811646693487,0.046370485720384456,0.979170273971835,0.6027631932133916
25,1.5,58.21903722716216,0.48659612398785024,0.5027906109270126,0.06551892665255901,0.9755815442815575,0.6032023825425977
25,1.6,58.374131847152974,0.48641828124414116,0.5027026318643046,0.08337286359617482,0.9716911817726875,0.6032574799040324
25,1.7000000000000002,58.26874583296026,0.48624063844487075,0.5026174322682866,0.10167484002470885,0.9681300811537339,0.6032620818087259
25,1.8,58.040893286037296,0.4860631974761715,0.5025353847470329,0.11926052881102979,0.9641507876316624,0.6031319068424039
25,1.9000000000000001,57.743155670462635,0.48588596050341715,0.5024570229859309,0.13706460891643477,0.960574300781396,0.6031516878114492
25,2.0,57.39732705316193,0.4857089301344455,0.5023828652808964,0.15424615611869155,0.9564544811623389,0.6029630949588735
25,2.1,57.013559151470105,0.4855321093635229,0.5023134139615612,0.1712244649169701,0.9525313991957761,0.6026338931016746
25,2.2,56.597473896095984,0.4853555015813305,0.5022492264187557,0.1874321988768865,0.9487990416589355,0.6025939672524305
25,2.3000000000000003,56.15284195672875,0.4851791106029636,0.5021908402974343,0.20310177735295679,0.9446157278703794,0.6027732185815219
25,2.4000000000000004,55.68264401113969,0.4850029406580527,0.5021388542218611,0.21941474582601736,0.94103941056338,0.6028998358066924
25,2.5,55.18948321268531,0.4848269964633061,0.5020939900009088,0.23509010677409556,0.9375060646815571,0.6028819549204574
25,2.6,54.67568727666833,0.48465128327246304,0.5020568730838404,0.25029182856255167,0.933376430934162,0.603076384097517
25,2.7,54.14341158169051,0.4844758068189212,0.5020281576278649,0.2645386275787648,0.9298207377716087,0.60332761426116
25,2.8000000000000003,53.59467025219662,0.4843005733308182,0.5020085437402767,0.27920853634026854,0.926252593615639,0.6030229113372735
25,2.9000000000000004,53.03134945697604,0.48412558959164587,0.5019987958598543,0.29404320142284635,0.9223921544746837,0.6031612780698258
25,3.0,52.455228952987724,0.48395086297469037,0.5019997976481901,0.3085806601930856,0.9185212644319847,0.6034154739678832
25,3.1,51.8679301824443,0.48377640152600593,0.5020123358847123,0.3221029150575438,0.9145349217712943,0.6035524326463038
25,3.2,51.27097934221426,0.4836022138679228,0.502037275672228,0.33653594563128925,0.9111345874448838,0.6031303701775398
25,3.3000000000000003,50.6657881900688,0.4834283093268087,0.5020755086268013,0.34944624084732934,0.9073919206087552,0.6033301501038424
25,3.4000000000000004,50.05365720016287,0.4832546978568307,0.5021278939170774,0.3626178174628005,0.9036687855461332,0.6032088372070583
25,3.5,49.43583646408384,0.48308139009251794,0.5021955011383796,0.3760428172477735,0.9001193041900288,0.6034738567916583
25,3.6,48.81345836963047,0.4829083975025563,0.5022793661600391,0.38786237883047114,0.8963826331683077,0.6036861404022184
25,3.7,48.187527581380465,0.4827357322818371,0.5023803618042858,0.39983140759786134,0.8927948868699567,0.6035900668778953
25,3.8000000000000003,47.55902510564347,0.4825634073152058,0.5024995819346244,0.4113456156540973,0.889202962548873,0.6040064666952756
25,3.9000000000000004,46.928845233607454,0.4823914363139115,0.5026381182491944,0.42353137677774466,0.8854685034304373,0.6041086427622138
25,4.0,46.297859582433496,0.48221983382693906,0.5027972891020361,0.43503909725556006,0.8823305146074766,0.6040522553317631
25,4.1000000000000005,45.66677604385982,0.4820486153848317,0.5029780938972941,0.4456179895256554,0.8788722913604924,0.6041975292240278
25,4.2,45.03631245101583,0.48187779723561414,0.5031817705617171,0.4562797738930463,0.8758601774363658,0.604111087939037
25,4.3,44.40710854008846,0.4817073965933937,0.5034095337951237,0.4667264013032511,0.8721066868690502,0.6042365526925405
25,4.4,43.77976271132271,0.48153743155991774,0.5036626560346469,0.4765588487140944,0.8683673814318319,0.6045498933139439
25,4.5,43.15479435141449,0.48136792118665006,0.5039423205001848,0.48623278075175896,0.8646840569959566,0.6042134464709342
25,4.6000000000000005,42.53271381172185,0.4811988853892057,0.5042498465855657,0.49571011753972055,0.861378480797257,0.604237310473964
25,4.7,41.914001794298784,0.48103034510095766,0.5045866568906224,0.5056164884384132,0.8579413429456798,0.6040263100800117
25,4.800000000000001,41.29908186072093,0.4808623223156286,0.5049541528984961,0.5160352367863944,0.8544994055432268,0.6038815412261642
25,4.9,40.68839507158866,0.48069484008423313,0.505353989470646,0.5263114605130004,0.8508864246262595,0.6039901644146783
25,5.0,40.082292445741125,0.48052792268313854,0.5057876816783992,0.5361536760022949,0.8477777842429699,0.603889515914743
25,5.1000000000000005,39.48110883908822,0.48036159549897134,0.5062568233605874,0.5445518708146792,0.8446305077683159,0.6038508987906711
25,5.2,38.88507137859541,0.48019588505250604,0.5067627091262583,0.5532940639936238,0.8414377490734007,0.6039056706582185
25,5.300000000000001,38.29447691437488,0.4800308188694747,0.5073069938925155,0.562132095328371,0.8376396041124544,0.6038221048105823
25,5.4,37.70957129673708,0.47986642566787535,0.5078912738084899,0.5708964470153495,0.8346642407476963,0.6044082895011481
25,5.5,37.13063151302379,0.47970273541151315,0.5085174231833427,0.5793405786687752,0.831013883859313,0.6038739591744433
25,5.6000000000000005,36.55779703503027,0.47953977932413583,0.5091868829404167,0.5870648108703896,0.8277271900512692,0.6037666759616156
25,5.7,35.99121550772773,0.47937758974322264,0.509901185689714,0.5951722428014476,0.8242761210408347,0.6042683880062889
25,5.800000000000001,35.431143057071026,0.47921620016150607,0.5106623825436578,0.6035781411856931,0.8208875440207347,0.6042939066249804
25,5.9,34.87771343490028,0.4790556455602453,0.511472222197045,0.6114331612718152,0.8176553805121513,0.6043265398303745
25,6.0,34.33105621656274,0.4788959621767514,0.5123325011314465,0.6183855138312188,0.8146217963960546,0.6042754449748426
25,6.1000000000000005,33.791277038730286,0.47873718753386085,0.5132449900250474,0.6260180730305692,0.8116483421856506,0.6045506207880402
25,6.2,33.25849748719652,0.4785793605453618,0.5142116353631994,0.633285975700706,0.8084644167994027,0.6046727721954243
25,6.300000000000001,32.73280360310969,0.4784225214517456,0.5152342973073467,0.6400763400746696,0.8054413811673994,0.6047430516172295
25,6.4,32.214249819088415,0.4782667118568646,0.5163147779793724,0.6472194019983311,0.8021674123582624,0.6044572282385112
25,6.5,31.70290257971766,0.47811197467062205,0.5174549690491597,0.6546981654457249,0.7986761127577018,0.6041529521150043
25,6.6000000000000005,31.19877877692505,0.47795835419355137,0.5186566298962574,0.6605213551536027,0.7954821945058315,0.6038045064155897
25,6.7,30.701920771905634,0.47780589587676897,0.5199215890421133,0.6669968928107205,0.7925219672676028,0.6034264334366894
25,6.800000000000001,30.212405593985228,0.4776546466308731,0.5212519327203193,0.6733125758674025,0.7893473867677414,0.60334983267801
25,6.9,29.730253900391478,0.4775046548355752,0.5226495996728735,0.6795847616023164,0.7860071265141453,0.6032260019377378
25,7.0,29.255491986749817,0.4773559702467947,0.5241165863225514,0.6857013660562579,0.7829205931212389,0.6035194417394462
25,7.1000000000000005,28.788199758556427,0.4772086441125787,0.5256551942560856,0.6922281143097875,0.7798157614804051,0.6032679038373082
25,7.2,28.32831877416474,0.4770627293141709,0.5272672616515193,0.6980428027650396,0.776477555859333,0.6031866714302483
25,7.300000000000001,27.875859217700445,0.47691827998641584,0.5289548544084315,0.7037767180501822,0.772914871345297,0.6033761762501005
