t_ms,ecg_mV
0.000,-0.013751
0.050,-0.013663
0.100,-0.013577
0.150,-0.013491
0.200,-0.013405
0.250,-0.013320
0.300,-0.013234
0.350,-0.013149
0.400,-0.013063
0.450,-0.012977
0.500,-0.012888
0.550,-0.012789
0.600,-0.012649
0.650,-0.012339
0.700,-0.011401
0.750,-0.010594
0.800,-0.010302
0.850,-0.010153
0.900,-0.010048
0.950,-0.009959
1.000,-0.009971
1.050,-0.009981
1.100,-0.009991
1.150,-0.010001
1.200,-0.010011
1.250,-0.010021
1.300,-0.010032
1.350,-0.010043
1.400,-0.010054
1.450,-0.010066
1.500,-0.010078
1.550,-0.010090
1.600,-0.010102
1.650,-0.010115
1.700,-0.010128
1.750,-0.010141
1.800,-0.010154
1.850,-0.010167
1.900,-0.010180
1.950,-0.010193
2.000,-0.010206
2.050,-0.010215
2.100,-0.010216
2.150,-0.010217
2.200,-0.010226
2.250,-0.010239
2.300,-0.010252
2.350,-0.010266
2.400,-0.010280
2.450,-0.010295
2.500,-0.010309
2.550,-0.010324
2.600,-0.010339
2.650,-0.010354
2.700,-0.010369
2.750,-0.010384
2.800,-0.010399
2.850,-0.010414
2.900,-0.010429
2.950,-0.010444
3.000,-0.010459
3.050,-0.010474
3.100,-0.010489
3.150,-0.010504
3.200,-0.010518
3.250,-0.010533
3.300,-0.010548
3.350,-0.010562
3.400,-0.010576
3.450,-0.010589
3.500,-0.010600
3.550,-0.010602
3.600,-0.010602
3.650,-0.010612
3.700,-0.010624
3.750,-0.010637
3.800,-0.010651
3.850,-0.010665
3.900,-0.010679
3.950,-0.010694
4.000,-0.010708
4.050,-0.010722
4.100,-0.010737
4.150,-0.010751
4.200,-0.010765
4.250,-0.010779
4.300,-0.010793
4.350,-0.010807
4.400,-0.010821
4.450,-0.010835
4.500,-0.010849
4.550,-0.010863
4.600,-0.010876
4.650,-0.010890
4.700,-0.010903
4.750,-0.010916
4.800,-0.010929
4.850,-0.010942
4.900,-0.010953
4.950,-0.010963
5.000,-0.010964
5.050,-0.010961
5.100,-0.010967
5.150,-0.010977
5.200,-0.010989
5.250,-0.011000
5.300,-0.011012
5.350,-0.011024
5.400,-0.011037
5.450,-0.011049
5.500,-0.011061
5.550,-0.011073
5.600,-0.011085
5.650,-0.011097
5.700,-0.011109
5.750,-0.011121
5.800,-0.011132
5.850,-0.011144
5.900,-0.011156
5.950,-0.011167
6.000,-0.011178
6.050,-0.011189
6.100,-0.011201
6.150,-0.011211
6.200,-0.011222
6.250,-0.011232
6.300,-0.011242
6.350,-0.011252
6.400,-0.011259
6.450,-0.011260
6.500,-0.011253
6.550,-0.011255
6.600,-0.011262
6.650,-0.011270
6.700,-0.011279
6.750,-0.011288
6.800,-0.011298
6.850,-0.011307
6.900,-0.011317
6.950,-0.011326
7.000,-0.011335
7.050,-0.011345
7.100,-0.011354
7.150,-0.011363
7.200,-0.011372
7.250,-0.011381
7.300,-0.011390
7.350,-0.011399
7.400,-0.011407
7.450,-0.011416
7.500,-0.011424
7.550,-0.011432
7.600,-0.011440
7.650,-0.011448
7.700,-0.011456
7.750,-0.011463
7.800,-0.011469
7.850,-0.011474
7.900,-0.011473
7.950,-0.011462
8.000,-0.011460
8.050,-0.011464
8.100,-0.011469
8.150,-0.011475
8.200,-0.011482
8.250,-0.011488
8.300,-0.011495
8.350,-0.011502
8.400,-0.011508
8.450,-0.011515
8.500,-0.011521
8.550,-0.011527
8.600,-0.011534
8.650,-0.011540
8.700,-0.011546
8.750,-0.011552
8.800,-0.011558
8.850,-0.011563
8.900,-0.011569
8.950,-0.011574
9.000,-0.011580
9.050,-0.011585
9.100,-0.011590
9.150,-0.011595
9.200,-0.011599
9.250,-0.011602
9.300,-0.011604
9.350,-0.011601
9.400,-0.011587
9.450,-0.011581
9.500,-0.011581
9.550,-0.011584
9.600,-0.011587
9.650,-0.011590
9.700,-0.011594
9.750,-0.011598
9.800,-0.011601
9.850,-0.011605
9.900,-0.011608
9.950,-0.011612
10.000,-0.011615
10.050,-0.011619
10.100,-0.011622
10.150,-0.011625
10.200,-0.011628
10.250,-0.011631
10.300,-0.011634
10.350,-0.011637
10.400,-0.011639
10.450,-0.011642
10.500,-0.011644
10.550,-0.011646
10.600,-0.011648
10.650,-0.011649
10.700,-0.011650
10.750,-0.011649
10.800,-0.011643
10.850,-0.011627
10.900,-0.011617
10.950,-0.011614
11.000,-0.011613
11.050,-0.011613
11.100,-0.011614
11.150,-0.011614
11.200,-0.011615
11.250,-0.011616
11.300,-0.011617
11.350,-0.011618
11.400,-0.011618
11.450,-0.011619
11.500,-0.011620
11.550,-0.011620
11.600,-0.011620
11.650,-0.011621
11.700,-0.011621
11.750,-0.011621
11.800,-0.011621
11.850,-0.011620
11.900,-0.011620
11.950,-0.011619
12.000,-0.011619
12.050,-0.011618
12.100,-0.011616
12.150,-0.011614
12.200,-0.011611
12.250,-0.011603
12.300,-0.011585
12.350,-0.011570
12.400,-0.011563
12.450,-0.011559
12.500,-0.011556
12.550,-0.011554
12.600,-0.011552
12.650,-0.011550
12.700,-0.011548
12.750,-0.011546
12.800,-0.011544
12.850,-0.011542
12.900,-0.011539
12.950,-0.011537
13.000,-0.011535
13.050,-0.011532
13.100,-0.011530
13.150,-0.011527
13.200,-0.011524
13.250,-0.011521
13.300,-0.011518
13.350,-0.011515
13.400,-0.011511
13.450,-0.011508
13.500,-0.011504
13.550,-0.011500
13.600,-0.011495
13.650,-0.011489
13.700,-0.011480
13.750,-0.011462
13.800,-0.011440
13.850,-0.011429
13.900,-0.011422
13.950,-0.011416
14.000,-0.011410
14.050,-0.011405
14.100,-0.011400
14.150,-0.011395
14.200,-0.011390
14.250,-0.011385
14.300,-0.011380
14.350,-0.011375
14.400,-0.011369
14.450,-0.011364
14.500,-0.011358
14.550,-0.011353
14.600,-0.011347
14.650,-0.011341
14.700,-0.011335
14.750,-0.011329
14.800,-0.011323
14.850,-0.011317
14.900,-0.011310
14.950,-0.011303
15.000,-0.011296
15.050,-0.011289
15.100,-0.011280
15.150,-0.011270
15.200,-0.011252
15.250,-0.011224
15.300,-0.011207
15.350,-0.011195
15.400,-0.011186
15.450,-0.011177
15.500,-0.011168
15.550,-0.011160
15.600,-0.011152
15.650,-0.011144
15.700,-0.011136
15.750,-0.011127
15.800,-0.011119
15.850,-0.011110
15.900,-0.011102
15.950,-0.011093
16.000,-0.011084
16.050,-0.011076
16.100,-0.011066
16.150,-0.011057
16.200,-0.011048
16.250,-0.011038
16.300,-0.011029
16.350,-0.011019
16.400,-0.011009
16.450,-0.010998
16.500,-0.010987
16.550,-0.010976
16.600,-0.010962
16.650,-0.010942
16.700,-0.010910
16.750,-0.010888
16.800,-0.010873
16.850,-0.010860
16.900,-0.010847
16.950,-0.010835
17.000,-0.010824
17.050,-0.010812
17.100,-0.010800
17.150,-0.010788
17.200,-0.010777
17.250,-0.010765
17.300,-0.010753
17.350,-0.010741
17.400,-0.010728
17.450,-0.010716
17.500,-0.010704
17.550,-0.010691
17.600,-0.010678
17.650,-0.010665
17.700,-0.010652
17.750,-0.010639
17.800,-0.010625
17.850,-0.010612
17.900,-0.010597
17.950,-0.010583
18.000,-0.010568
18.050,-0.010550
18.100,-0.010527
18.150,-0.010492
18.200,-0.010464
18.250,-0.010444
18.300,-0.010427
18.350,-0.010411
18.400,-0.010395
18.450,-0.010380
18.500,-0.010364
18.550,-0.010349
18.600,-0.010333
18.650,-0.010317
18.700,-0.010302
18.750,-0.010286
18.800,-0.010270
18.850,-0.010254
18.900,-0.010237
18.950,-0.010221
19.000,-0.010204
19.050,-0.010188
19.100,-0.010171
19.150,-0.010154
19.200,-0.010136
19.250,-0.010119
19.300,-0.010101
19.350,-0.010083
19.400,-0.010064
19.450,-0.010045
19.500,-0.010024
19.550,-0.009998
19.600,-0.009959
19.650,-0.009924
19.700,-0.009900
19.750,-0.009878
19.800,-0.009858
19.850,-0.009837
19.900,-0.009817
19.950,-0.009798
20.000,-0.009778
20.050,-0.009758
20.100,-0.009738
20.150,-0.009718
20.200,-0.009698
20.250,-0.009677
20.300,-0.009657
20.350,-0.009636
20.400,-0.009615
20.450,-0.009594
20.500,-0.009573
20.550,-0.009551
20.600,-0.009530
20.650,-0.009508
20.700,-0.009486
20.750,-0.009464
20.800,-0.009441
20.850,-0.009418
20.900,-0.009394
20.950,-0.009369
21.000,-0.009340
21.050,-0.009300
21.100,-0.009257
21.150,-0.009226
21.200,-0.009198
21.250,-0.009173
21.300,-0.009148
21.350,-0.009123
21.400,-0.009099
21.450,-0.009074
21.500,-0.009049
21.550,-0.009025
21.600,-0.009000
21.650,-0.008975
21.700,-0.008949
21.750,-0.008924
21.800,-0.008899
21.850,-0.008873
21.900,-0.008847
21.950,-0.008821
22.000,-0.008795
22.050,-0.008768
22.100,-0.008742
22.150,-0.008715
22.200,-0.008687
22.250,-0.008660
22.300,-0.008632
22.350,-0.008603
22.400,-0.008574
22.450,-0.008542
22.500,-0.008501
22.550,-0.008450
22.600,-0.008409
22.650,-0.008376
22.700,-0.008345
22.750,-0.008315
22.800,-0.008285
22.850,-0.008255
22.900,-0.008225
22.950,-0.008196
23.000,-0.008166
23.050,-0.008136
23.100,-0.008106
23.150,-0.008076
23.200,-0.008045
23.250,-0.008014
23.300,-0.007984
23.350,-0.007953
23.400,-0.007922
23.450,-0.007890
23.500,-0.007859
23.550,-0.007827
23.600,-0.007795
23.650,-0.007762
23.700,-0.007730
23.750,-0.007697
23.800,-0.007663
23.850,-0.007629
23.900,-0.007592
23.950,-0.007547
24.000,-0.007489
24.050,-0.007442
24.100,-0.007404
24.150,-0.007367
24.200,-0.007332
24.250,-0.007296
24.300,-0.007262
24.350,-0.007227
24.400,-0.007192
24.450,-0.007157
24.500,-0.007122
24.550,-0.007087
24.600,-0.007051
24.650,-0.007016
24.700,-0.006980
24.750,-0.006944
24.800,-0.006908
24.850,-0.006872
24.900,-0.006836
24.950,-0.006799
25.000,-0.006762
25.050,-0.006725
25.100,-0.006688
25.150,-0.006650
25.200,-0.006612
25.250,-0.006574
25.300,-0.006535
25.350,-0.006493
25.400,-0.006444
25.450,-0.006382
25.500,-0.006328
25.550,-0.006284
25.600,-0.006243
25.650,-0.006202
25.700,-0.006162
25.750,-0.006123
25.800,-0.006083
25.850,-0.006044
25.900,-0.006004
25.950,-0.005965
26.000,-0.005925
26.050,-0.005885
26.100,-0.005845
26.150,-0.005805
26.200,-0.005765
26.250,-0.005725
26.300,-0.005684
26.350,-0.005644
26.400,-0.005603
26.450,-0.005562
26.500,-0.005521
26.550,-0.005479
26.600,-0.005438
26.650,-0.005396
26.700,-0.005354
26.750,-0.005310
26.800,-0.005265
26.850,-0.005214
26.900,-0.005148
26.950,-0.005088
27.000,-0.005040
27.050,-0.004994
27.100,-0.004950
27.150,-0.004907
27.200,-0.004864
27.250,-0.004821
27.300,-0.004778
27.350,-0.004735
27.400,-0.004692
27.450,-0.004650
27.500,-0.004607
27.550,-0.004564
27.600,-0.004521
27.650,-0.004478
27.700,-0.004435
27.750,-0.004391
27.800,-0.004348
27.850,-0.004305
27.900,-0.004261
27.950,-0.004218
28.000,-0.004174
28.050,-0.004130
28.100,-0.004086
28.150,-0.004042
28.200,-0.003997
28.250,-0.003950
28.300,-0.003899
28.350,-0.003835
28.400,-0.003768
28.450,-0.003716
28.500,-0.003668
28.550,-0.003623
28.600,-0.003578
28.650,-0.003533
28.700,-0.003489
28.750,-0.003445
28.800,-0.003401
28.850,-0.003357
28.900,-0.003313
28.950,-0.003270
29.000,-0.003226
29.050,-0.003182
29.100,-0.003139
29.150,-0.003095
29.200,-0.003052
29.250,-0.003008
29.300,-0.002965
29.350,-0.002921
29.400,-0.002878
29.450,-0.002834
29.500,-0.002791
29.550,-0.002747
29.600,-0.002703
29.650,-0.002659
29.700,-0.002613
29.750,-0.002565
29.800,-0.002507
29.850,-0.002437
29.900,-0.002381
29.950,-0.002333
30.000,-0.002288
30.050,-0.002244
30.100,-0.002200
30.150,-0.002157
30.200,-0.002115
30.250,-0.002072
30.300,-0.002030
30.350,-0.001988
30.400,-0.001947
30.450,-0.001905
30.500,-0.001863
30.550,-0.001822
30.600,-0.001781
30.650,-0.001739
30.700,-0.001698
30.750,-0.001657
30.800,-0.001617
30.850,-0.001576
30.900,-0.001535
30.950,-0.001494
31.000,-0.001454
31.050,-0.001413
31.100,-0.001372
31.150,-0.001330
31.200,-0.001285
31.250,-0.001232
31.300,-0.001164
31.350,-0.001110
31.400,-0.001065
31.450,-0.001023
31.500,-0.000983
31.550,-0.000943
31.600,-0.000904
31.650,-0.000865
31.700,-0.000827
31.750,-0.000789
31.800,-0.000751
31.850,-0.000714
31.900,-0.000677
31.950,-0.000640
32.000,-0.000603
32.050,-0.000566
32.100,-0.000530
32.150,-0.000493
32.200,-0.000457
32.250,-0.000421
32.300,-0.000385
32.350,-0.000349
32.400,-0.000314
32.450,-0.000278
32.500,-0.000242
32.550,-0.000206
32.600,-0.000170
32.650,-0.000131
32.700,-0.000084
32.750,-0.000021
32.800,0.000030
32.850,0.000070
32.900,0.000107
32.950,0.000142
33.000,0.000176
33.050,0.000209
33.100,0.000242
33.150,0.000275
33.200,0.000307
33.250,0.000339
33.300,0.000371
33.350,0.000402
33.400,0.000434
33.450,0.000465
33.500,0.000495
33.550,0.000526
33.600,0.000556
33.650,0.000586
33.700,0.000616
33.750,0.000646
33.800,0.000676
33.850,0.000705
33.900,0.000735
33.950,0.000765
34.000,0.000794
34.050,0.000825
34.100,0.000857
34.150,0.000896
34.200,0.000953
34.250,0.001001
34.300,0.001035
34.350,0.001066
34.400,0.001095
34.450,0.001123
34.500,0.001151
34.550,0.001177
34.600,0.001204
34.650,0.001230
34.700,0.001256
34.750,0.001281
34.800,0.001306
34.850,0.001331
34.900,0.001356
34.950,0.001381
35.000,0.001405
35.050,0.001429
35.100,0.001453
35.150,0.001477
35.200,0.001501
35.250,0.001524
35.300,0.001548
35.350,0.001571
35.400,0.001594
35.450,0.001618
35.500,0.001642
35.550,0.001668
35.600,0.001699
35.650,0.001747
35.700,0.001793
35.750,0.001824
35.800,0.001850
35.850,0.001873
35.900,0.001895
35.950,0.001917
36.000,0.001938
36.050,0.001959
36.100,0.001979
36.150,0.001999
36.200,0.002018
36.250,0.002038
36.300,0.002057
36.350,0.002076
36.400,0.002095
36.450,0.002114
36.500,0.002132
36.550,0.002151
36.600,0.002169
36.650,0.002187
36.700,0.002205
36.750,0.002223
36.800,0.002241
36.850,0.002259
36.900,0.002277
36.950,0.002295
37.000,0.002315
37.050,0.002338
37.100,0.002373
37.150,0.002421
37.200,0.002452
37.250,0.002474
37.300,0.002493
37.350,0.002510
37.400,0.002527
37.450,0.002543
37.500,0.002559
37.550,0.002574
37.600,0.002589
37.650,0.002604
37.700,0.002618
37.750,0.002633
37.800,0.002647
37.850,0.002661
37.900,0.002675
37.950,0.002689
38.000,0.002702
38.050,0.002716
38.100,0.002729
38.150,0.002743
38.200,0.002756
38.250,0.002770
38.300,0.002783
38.350,0.002797
38.400,0.002811
38.450,0.002826
38.500,0.002844
38.550,0.002872
38.600,0.002918
38.650,0.002947
38.700,0.002966
38.750,0.002981
38.800,0.002994
38.850,0.003007
38.900,0.003019
38.950,0.003031
39.000,0.003042
39.050,0.003053
39.100,0.003064
39.150,0.003075
39.200,0.003085
39.250,0.003096
39.300,0.003106
39.350,0.003116
39.400,0.003126
39.450,0.003136
39.500,0.003146
39.550,0.003156
39.600,0.003166
39.650,0.003175
39.700,0.003185
39.750,0.003195
39.800,0.003205
39.850,0.003216
39.900,0.003227
39.950,0.003242
40.000,0.003266
40.050,0.003308
40.100,0.003337
40.150,0.003353
40.200,0.003365
40.250,0.003376
40.300,0.003385
40.350,0.003394
40.400,0.003403
40.450,0.003411
40.500,0.003419
40.550,0.003427
40.600,0.003435
40.650,0.003442
40.700,0.003450
40.750,0.003457
40.800,0.003464
40.850,0.003472
40.900,0.003479
40.950,0.003486
41.000,0.003493
41.050,0.003500
41.100,0.003507
41.150,0.003514
41.200,0.003521
41.250,0.003529
41.300,0.003537
41.350,0.003545
41.400,0.003557
41.450,0.003577
41.500,0.003617
41.550,0.003647
41.600,0.003661
41.650,0.003671
41.700,0.003680
41.750,0.003687
41.800,0.003694
41.850,0.003700
41.900,0.003706
41.950,0.003712
42.000,0.003717
42.050,0.003723
42.100,0.003728
42.150,0.003733
42.200,0.003739
42.250,0.003744
42.300,0.003749
42.350,0.003754
42.400,0.003759
42.450,0.003764
42.500,0.003769
42.550,0.003774
42.600,0.003779
42.650,0.003784
42.700,0.003789
42.750,0.003795
42.800,0.003802
42.850,0.003811
42.900,0.003827
42.950,0.003863
43.000,0.003896
43.050,0.003910
43.100,0.003919
43.150,0.003926
43.200,0.003932
43.250,0.003937
43.300,0.003942
43.350,0.003946
43.400,0.003950
43.450,0.003954
43.500,0.003958
43.550,0.003962
43.600,0.003965
43.650,0.003969
43.700,0.003973
43.750,0.003976
43.800,0.003980
43.850,0.003983
43.900,0.003987
43.950,0.003990
44.000,0.003994
44.050,0.003997
44.100,0.004001
44.150,0.004005
44.200,0.004009
44.250,0.004014
44.300,0.004021
44.350,0.004032
44.400,0.004060
44.450,0.004099
44.500,0.004117
44.550,0.004126
44.600,0.004133
44.650,0.004138
44.700,0.004142
44.750,0.004145
44.800,0.004148
44.850,0.004151
44.900,0.004154
44.950,0.004157
45.000,0.004159
45.050,0.004162
45.100,0.004164
45.150,0.004167
45.200,0.004169
45.250,0.004172
45.300,0.004174
45.350,0.004176
45.400,0.004179
45.450,0.004181
45.500,0.004184
45.550,0.004186
45.600,0.004189
45.650,0.004192
45.700,0.004196
45.750,0.004201
45.800,0.004210
45.850,0.004232
45.900,0.004273
45.950,0.004296
46.000,0.004306
46.050,0.004312
46.100,0.004316
46.150,0.004319
46.200,0.004322
46.250,0.004325
46.300,0.004327
46.350,0.004329
46.400,0.004330
46.450,0.004332
46.500,0.004334
46.550,0.004336
46.600,0.004337
46.650,0.004339
46.700,0.004340
46.750,0.004342
46.800,0.004343
46.850,0.004345
46.900,0.004347
46.950,0.004348
47.000,0.004350
47.050,0.004352
47.100,0.004355
47.150,0.004358
47.200,0.004362
47.250,0.004370
47.300,0.004390
47.350,0.004432
47.400,0.004456
47.450,0.004466
47.500,0.004472
47.550,0.004476
47.600,0.004479
47.650,0.004481
47.700,0.004483
47.750,0.004484
47.800,0.004486
47.850,0.004487
47.900,0.004488
47.950,0.004489
48.000,0.004490
48.050,0.004491
48.100,0.004492
48.150,0.004493
48.200,0.004494
48.250,0.004495
48.300,0.004496
48.350,0.004497
48.400,0.004499
48.450,0.004500
48.500,0.004502
48.550,0.004503
48.600,0.004506
48.650,0.004510
48.700,0.004517
48.750,0.004535
48.800,0.004576
48.850,0.004604
48.900,0.004614
48.950,0.004620
49.000,0.004624
49.050,0.004626
49.100,0.004628
49.150,0.004629
49.200,0.004630
49.250,0.004631
49.300,0.004632
49.350,0.004633
49.400,0.004634
49.450,0.004634
49.500,0.004635
49.550,0.004635
49.600,0.004636
49.650,0.004636
49.700,0.004637
49.750,0.004638
49.800,0.004638
49.850,0.004639
49.900,0.004640
49.950,0.004641
50.000,0.004643
50.050,0.004645
50.100,0.004648
50.150,0.004654
50.200,0.004669
50.250,0.004709
50.300,0.004741
50.350,0.004754
50.400,0.004760
50.450,0.004763
50.500,0.004766
50.550,0.004767
50.600,0.004768
50.650,0.004769
50.700,0.004770
50.750,0.004770
50.800,0.004771
50.850,0.004771
50.900,0.004771
50.950,0.004772
51.000,0.004772
51.050,0.004772
51.100,0.004772
51.150,0.004773
51.200,0.004773
51.250,0.004774
51.300,0.004774
51.350,0.004775
51.400,0.004775
51.450,0.004777
51.500,0.004778
51.550,0.004781
51.600,0.004786
51.650,0.004797
51.700,0.004829
51.750,0.004870
51.800,0.004887
51.850,0.004894
51.900,0.004898
51.950,0.004901
52.000,0.004903
52.050,0.004904
52.100,0.004904
52.150,0.004905
52.200,0.004905
52.250,0.004905
52.300,0.004905
52.350,0.004906
52.400,0.004906
52.450,0.004906
52.500,0.004906
52.550,0.004906
52.600,0.004906
52.650,0.004906
52.700,0.004906
52.750,0.004906
52.800,0.004907
52.850,0.004907
52.900,0.004908
52.950,0.004910
53.000,0.004912
53.050,0.004915
53.100,0.004924
53.150,0.004948
53.200,0.004994
53.250,0.005018
53.300,0.005028
53.350,0.005033
53.400,0.005036
53.450,0.005037
53.500,0.005038
53.550,0.005039
53.600,0.005039
53.650,0.005040
53.700,0.005040
53.750,0.005040
53.800,0.005040
53.850,0.005039
53.900,0.005039
53.950,0.005039
54.000,0.005039
54.050,0.005039
54.100,0.005039
54.150,0.005039
54.200,0.005039
54.250,0.005039
54.300,0.005040
54.350,0.005040
54.400,0.005042
54.450,0.005043
54.500,0.005047
54.550,0.005055
54.600,0.005077
54.650,0.005125
54.700,0.005153
54.750,0.005163
54.800,0.005168
54.850,0.005171
54.900,0.005173
54.950,0.005174
55.000,0.005174
55.050,0.005175
55.100,0.005175
55.150,0.005175
55.200,0.005175
55.250,0.005174
55.300,0.005174
55.350,0.005174
55.400,0.005174
55.450,0.005173
55.500,0.005173
55.550,0.005173
55.600,0.005173
55.650,0.005173
55.700,0.005173
55.750,0.005173
55.800,0.005174
55.850,0.005175
55.900,0.005177
55.950,0.005180
56.000,0.005187
56.050,0.005207
56.100,0.005256
56.150,0.005288
56.200,0.005299
56.250,0.005305
56.300,0.005308
56.350,0.005310
56.400,0.005311
56.450,0.005311
56.500,0.005312
56.550,0.005312
56.600,0.005311
56.650,0.005311
56.700,0.005311
56.750,0.005311
56.800,0.005310
56.850,0.005310
56.900,0.005310
56.950,0.005309
57.000,0.005309
57.050,0.005309
57.100,0.005309
57.150,0.005309
57.200,0.005309
57.250,0.005309
