tauf,apd_mean,apd_std,apd_min,apd_max,apd_std_altbeat,ca_mean,ca_std,ca_min,ca_max
20,170.52197451827217,0.5260652984514868,169.21385225289123,172.15811743279482,0.5262765780749149,0.8408927591920392,0.005310773485647522,0.8237025802780632,0.8543319967729311
21,174.72304270124502,0.541190653186926,173.36586873443594,176.41559277764463,0.5413937812082633,0.9135488456768924,0.006097674887335402,0.893580936182505,0.9291905915597792
22,178.8064720155477,0.555064881646033,177.4012199780409,180.55055439082935,0.5552576745573996,0.9892415606285992,0.006862231959416096,0.9665253415296958,1.0073279561308695
23,182.7654129802898,0.5678996589086417,181.30783810165303,184.55341890871205,0.5680787342179758,1.0676339595112516,0.007611091931261083,1.0421787243456802,1.0883565180773227
24,186.59305242198693,0.5799115551080681,185.0823742391367,188.41965580103715,0.5800754073873826,1.1483143276580468,0.008354940436011543,1.1201070002776576,1.1718466832798142
25,190.28277272072037,0.5912771029119849,188.71939628150722,192.1439598834113,0.5914237728630577,1.2308011815801196,0.00910573530947231,1.1998063277904423,1.257291404953545
26,193.8287130590308,0.6022400692116803,192.21224357082974,195.72027488509775,0.602369126556634,1.314554813428367,0.00987446212571874,1.2807163243032227,1.3441250120212431
27,197.22594313552776,0.6129764442275822,195.55541548292967,199.1442799434226,0.613088751648919,1.398993370989942,0.010670552605717884,1.362240305197023,1.4317412974724497
28,200.47087457524162,0.6237254341878229,198.74493918601365,202.41376130620483,0.6238209541824734,1.4835129835714067,0.011501089800204424,1.4437667140802228,1.5195114467306878
29,203.56138777129462,0.6347788941819967,201.77745357084495,205.52705823697033,0.6348560009826871,1.5675071536466179,0.012372188881328459,1.5246830291812765,1.6068037960039239
30,206.49697539183876,0.6464953520031177,204.65210990143532,208.48379655282042,0.6465537792984215,1.6503742167756317,0.013288357142409236,1.604382468356628,1.692994424142128
31,209.2787355996914,0.6590051618653783,207.36950732626428,211.2854275201389,0.6590439206244758,1.731553358980505,0.014248673887175552,1.6823280586386402,1.7775087952378494
32,211.90935470056294,0.6724848356026213,209.93328522630327,213.93512983929395,0.6725017109209919,1.8105659479366627,0.015254919686338467,1.7580487039170685,1.859830069445073
33,214.39283450238588,0.6871879817920451,212.34722405459615,216.43761343897495,0.6871808222510647,1.8870007417703367,0.016310777385681208,1.8311430682548302,1.9395278383343981
34,216.73426865054705,0.7033538700486778,214.6162016484741,218.798075260529,0.7033183800860244,1.9605152628635385,0.01741978843217349,1.9012879773743216,2.016238495817786
35,218.93954327473324,0.7212780353304978,216.74611824050953,221.02226821943623,0.7212087336238096,2.0308389940471216,0.018586969863333958,1.968217920281371,2.089660150045385
36,221.0151527458712,0.741281289871618,218.74371688242536,223.11701539593923,0.7411697087331726,2.0977709856526117,0.01981895663741068,2.0317536274640395,2.1595773337635245
37,222.96791843088312,0.7637104713356024,220.61624679806118,225.12714725040132,0.7635440718053131,2.161175785015391,0.021124476747170523,2.0917917308793106,2.225835034270732
38,224.80479999825602,0.7890009365308146,222.37120404856978,227.06584816775285,0.7887643508552755,2.220975207495298,0.022515615812274584,2.1482597012467517,2.2911755127893594
39,226.53274649530377,0.8177331711916127,224.01682727810112,228.90790361013205,0.8174050485809721,2.277141826092812,0.024009518571899143,2.2011644541236515,2.353346618761549
40,228.15854047890915,0.8506214712570785,225.5614745033381,230.66193566962465,0.8501720640282132,2.329690649102651,0.025628809461894882,2.250547379997833,2.412327048882293
41,229.68871884684174,0.8886441799666411,227.01406323448464,232.33724776509916,0.8880356921230632,2.378671406029508,0.027405557857910656,2.2945490966222364,2.4682393872161903
